Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Packets Looked Up,Packets Matched
314604,50999815,32198931,315166,1107,0,0,278,2,0,0,0,0,0,984813,984690
173675,32523771,18997253,151532,865,5,598,560,4,0,0,0,0,0,643066,642950
4050,74413831,19088971,1961,1746,133,4858948,556,4,0,0,0,0,0,10918,10798
5159,82253981,6540876,2039,2427,123,4727293,556,4,0,0,0,0,0,14002,13870
4327,107252211,85941310,242531,2610,0,0,560,4,0,0,0,0,0,519399,519311
2138,6419924,23014,232,116,101,5794,556,4,0,0,0,0,0,4667,4571
1350,31520717,25413977,2454,1736,0,0,278,2,0,0,0,0,0,10614,10494
510,6340359,28959,221,266,3,320,320,3,0,0,0,0,0,291374,291253
510,6328305,6365911,911,166,0,0,602,5,0,0,0,0,0,3350,3253
167,22040,186703,3186,191,4,556,5686,99,459,156978,459,156978,459,7211,7116
754,18926308,12648359,830,141,0,0,556,4,0,0,0,0,0,3654,3590
360,6321220,37195,578,66,67,2233365,6105,104,534,26892,534,26892,534,1070,970
4494,69593478,31770705,3125,2192,2,278,278,2,0,0,0,0,0,13032,12891
34105,8144358,1848144,34063,86,3,320,320,3,0,0,0,0,0,68738,68646
175400,70409428,43548912,285041,1257,2,278,560,4,0,0,0,0,0,648762,648636
96,12661,12661,96,91,4,556,556,4,0,0,0,0,0,85786,85695
932,12647296,31658141,2042,1316,58,4105,4202195,111,0,0,0,0,0,8892,8772
5871,76014824,132692626,6668,2677,4,556,556,4,0,0,0,0,0,25687,25448
425,12093846,12939,98,96,155,5777734,320,3,0,0,0,0,0,832,742
1680,228168,56976022,3901,2476,2,278,280,2,0,0,0,0,0,21968,21839
288,29521,12759316,2946,176,2,278,5410,97,513,130788,513,130788,513,11928,11826
508,6303652,13957,103,111,61,2101596,278,2,0,0,0,0,0,4082,3979
